Latin_name,Class,Class2,Order,Common_name,ZNF956,ZNF783,ZNF777,ZNF767,ZNF746,ZNF398,ZNF282,ZNF212,Unique,Common
Aquila chrysaetos,Aves,Aves,Accipitriformes,Golden eagle,0,0,1,0,0,0,0,0,0,1
Haliaeetus leucocephalus,Aves,Aves,Accipitriformes,Bald eagle,0,0,0,0,0,0,0,0,1,1
Anser cygnoides domesticus,Aves,Aves,Anseriformes,Swan goose,0,0,0,1,0,0,0,0,0,1
Anas platyrhynchos,Aves,Aves,Anseriformes,Mallard,0,0,0,0,0,0,0,0,0,1
Calypte anna,Aves,Aves,Apodiformes,Anna's hummingbird,0,0,1,0,0,0,0,0,0,1
Chaetura pelagica,Aves,Aves,Apodiformes,Chimney swift,0,0,1,0,0,0,0,0,0,1
Apteryx australis mantelli,Aves,Aves,Apterygiformes,North Island brown kiwi,1,0,1,0,0,0,0,0,0,1
Cariama cristata,Aves,Aves,Cariamiformes,Red-legged seriema,0,0,0,0,0,0,0,0,0,1
Charadrius vociferus,Aves,Aves,Charadriiformes,Killdeer,0,0,0,1,0,0,0,0,0,1
Nipponia nippon,Aves,Aves,Ciconiiformes,Crested ibis,0,0,1,0,0,0,0,0,0,1
Columba livia,Aves,Aves,Columbiformes,Rock dove,0,0,1,0,0,0,0,0,1,1
Cuculus canorus,Aves,Aves,Cuculiformes,Common cuckoo,0,0,1,0,0,0,1,0,0,1
Falco cherrug,Aves,Aves,Falconiformes,Saker falcon,0,0,1,1,0,0,1,0,0,1
Falco peregrinus,Aves,Aves,Falconiformes,Peregrine falcon,0,0,0,0,0,0,1,0,0,0
Gallus gallus,Aves,Aves,Galliformes,Red junglefowl,0,0,1,1,0,0,0,0,0,1
Meleagris gallopavo,Aves,Aves,Galliformes,Domesticated turkey,0,0,0,1,0,0,0,0,0,1
Colinus virginianus,Aves,Aves,Galliformes,Northern Bobwhite,0,0,0,1,0,0,0,0,0,1
Opisthocomus hoazin,Aves,Aves,Opisthocomiformes,Hoatzin,0,0,0,0,0,0,0,0,0,1
Ficedula albicollis,Aves,Aves,Passeriformes,Collared flycatcher,0,0,1,1,0,0,1,0,0,1
Pseudopodoces humilis,Aves,Aves,Passeriformes,Ground tit,0,0,1,1,0,0,1,0,0,1
Corvus brachyrhynchos,Aves,Aves,Passeriformes,American crow,0,0,1,0,1,0,0,0,0,0
Taeniopygia guttata,Aves,Aves,Passeriformes,Zebra finch,0,0,1,1,0,0,0,0,1,1
Serinus canaria,Aves,Aves,Passeriformes,Atlantic canary,0,0,1,1,0,0,0,0,0,1
